"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"229964789953212416","","","229941955679907842","148857281","2012-07-30 15:40:53 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @PosPositive: Want to Have More Fun? Go on a Mission. http://t.co/BSlgtJxc by @gretchenrubin","http://bit.ly/LVuhLA"
"229963275012562945","","","229813835803000833","15032404","2012-07-30 15:34:51 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @jmtame: ""it's hard to do a really good job on anything you don't think about in the shower."" - @paulg"
"229787642433257472","","","","","2012-07-30 03:56:57 +0000","<a href=""http://flickr.com/services/twitter/"" rel=""nofollow"">Flickr</a>","8:36pm Reading a new Little Blue Truck book for bedtime http://t.co/iyaUFTqs","http://flic.kr/p/cG8RGL"
"229689674602536960","","","229676248471851009","1159301","2012-07-29 21:27:40 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @joshdilworth: By Nadav Gur, CEO of new stealth SRI spinout Desti -- Beyond Siri and Search in @techcrunch http://t.co/3CHtd819","http://techcrunch.com/2012/07/28/from-information-to-understanding-moving-beyond-search-in-the-age-of-siri/"
"229683242335342592","","","229681029986779137","37570179","2012-07-29 21:02:06 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @arrington: Craigslist (and Silicon Valley) Greatly Offends The NY Times: http://t.co/E9IC6fhH via @Uncrunched","http://wp.me/p1RmvN-il"
"229646242450374657","","","","","2012-07-29 18:35:05 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Cool idea RT @ShaneMac: 3 weeks ago, I set a daily reminder to email me this video - Love it. http://t.co/3Ri9F2G7","http://bit.ly/O9DgZf"
"229645908105654272","","","","","2012-07-29 18:33:45 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Smart stuff RT @daltonc: New blog post, ""Critical Mass vs Network Effects"": http://t.co/VGGABibf","http://bit.ly/P6JS73"
"229595008955719682","","","","","2012-07-29 15:11:30 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","I hope Google Fiber disrupts broadband service just as Gmail did for email (seems like a huge project though) http://t.co/LESm6rcB","http://read.bi/P5Oom4"
"229420726795501568","","","","","2012-07-29 03:38:58 +0000","<a href=""http://instagr.am"" rel=""nofollow"">Instagram</a>","8:36pm Lazy part of the party http://t.co/m3PgBR7W","http://instagr.am/p/NpmUgmI0Kh/"
"229385949279289344","","","","","2012-07-29 01:20:46 +0000","<a href=""http://instagr.am"" rel=""nofollow"">Instagram</a>","Likes a mean burger at a block party http://t.co/KU7bzrwL","http://instagr.am/p/NpWdaPo0M4/"
"229326139741593600","229319874546118656","2015","","","2012-07-28 21:23:07 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@joshc Hm? yeah, I'm sure they'll be around. There are definitely businesses around coupons and gambling, they just aren't very interesting."
"229315104603242496","229306885872959489","112037009","","","2012-07-28 20:39:16 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@oliverburkeman @edyong209 Yes: Tweetbot."
"229314416716439554","","","","","2012-07-28 20:36:32 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","#Predictions for 5 years from now: Apple, Twitter, and Facebook valuations are way up, Groupon and Zynga?s valuations are way down."
"229285573960032256","","","","","2012-07-28 18:41:55 +0000","<a href=""http://instagr.am"" rel=""nofollow"">Instagram</a>","Nikopus  @ Seattle Aquarium http://t.co/Xh5kQbJZ","http://instagr.am/p/NoopvOo0JY/"
"229244562852438017","229244180285751296","14803483","","","2012-07-28 15:58:57 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@evanjacobs @calbucci I've decided to just skip watching the Olympics rather than figure out cable. I'll watch via Twitter."
"229058451660238848","","","","","2012-07-28 03:39:25 +0000","<a href=""http://flickr.com/services/twitter/"" rel=""nofollow"">Flickr</a>","8:36pm Locked out and wondering where Kellianne and Niko are. Who's seen them? http://t.co/ZOsJnP8G","http://flic.kr/p/cETfoh"
"228951989365645312","228951794020147200","123116307","","","2012-07-27 20:36:22 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@LilHossler Yeah, me too. I just turn it on and am surprised when things work, but don?t expect it to. Mountain Lion makes it better tho."
"228951428381691904","228917694945173504","123116307","","","2012-07-27 20:34:08 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@LilHossler It actually works with iCloud, I think? so you don?t even need to upload them to Flickr/Instagram/etc to share them."
"228919561402068992","228917220644900865","9525212","","","2012-07-27 18:27:31 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@dandean Yes! Are you in Seattle today? Come to Cal Anderson tonight?"
"228916033468125184","","","","","2012-07-27 18:13:30 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","Can more of you install this Flock app so I can see if the magical photo-gathering works? Thanks! http://t.co/p1xsVgkZ","http://itun.es/us/yk_yG.i"
"228894463089598465","228893886880309248","786818","","","2012-07-27 16:47:47 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@webwright @berkun Yes, I strongly believe so. Product/person fit. Also applies to services and ideas."
"228892093240733696","228891853448179712","30495974","","","2012-07-27 16:38:22 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@berkun @webwright Another way to look at it, there?s no such thing as quality, only fit."
"228858815796363266","","","228844047165431808","52441862","2012-07-27 14:26:08 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @larrymcsheffery: Esther Dyson on health data, ?preemptive healthcare? and the next big thing http://t.co/Xr8pE26A","http://ow.ly/cxHqQ"
