"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"3077623","","","","","2007-01-17 01:31:07 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Doing a photoshoot with Seattle Metropolitan magazine. Wearing makeup?"
"2964193","","","","","2007-01-16 03:00:41 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","How many people can say that their hair and ceiling are both turquoise?"
"1949563","","","","","2007-01-01 20:02:27 +0000","im","350 people showed up last night.  Nobody died.  Success!"
