"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"11586","","","","","2006-07-19 00:16:27 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Is this any better than dodgeball? I'm hungry."
"11314","","","","","2006-07-18 16:52:39 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Listening to druggies on the bus."
"11195","","","","","2006-07-18 04:42:21 +0000","web","Thinking about heading out to Rendezvous to see Todd's band."
